Date,Tweets,Location,Sentiment Polarity
2019-03-05 16:28:28,b RT After CP s successful rally the BJP Shiv Sena Govt has been shaken As a result of which they re spreading xe2 x80 xa6,b'\xe0\xa4\xb8\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa5\x87 \xe0\xa4\x9c\xe0\xa4\xb9\xe0\xa4\xbe\xe0\xa4\x82 \xe0\xa4\xb8\xe0\xa5\x87 \xe0\xa4\x85\xe0\xa4\x9a\xe0\xa5\x8d\xe0\xa4\x9b\xe0\xa4\xbe \xe0\xa4\xb9\xe0\xa4\xbf\xe0\xa4\x82\xe0\xa4\xa6\xe0\xa5\x81\xe0\xa4\xb8\xe0\xa5\x8d\xe0\xa4\xa4\xe0\xa4\xbe\xe0\xa4\xa8 ',0.75
2019-03-05 16:28:23,b Loss of indian foreign policy End of preferential trade with usa xe2 x80 xa6,"b'New Delhi, India'",-0.125
2019-03-05 16:28:22,b RT mp So xe2 x80 x98s politics in full flow now n nHate our so much tht u will hug wink dalliance wth Terror suppr xe2 x80 xa6,b'Aukaat ',0.275
2019-03-05 16:28:20,b HMO again Mr Rajnathji are you listening,b'India',0.0
2019-03-05 16:28:19,Bitter Gujju Shame on Congress Party and the Republic of Pakistan now openly supporting the Congress;,"b'Deoria, India'",0.075
2019-03-05 16:28:10,b RT mp So xe2 x80 x98s politics in full flow now n nHate our so much tht u will hug wink dalliance wth Terror suppr xe2 x80 xa6,"b'Hisar, Gurgaon India'",0.275
2019-03-05 16:28:10,b Don t underestimate people Mr Modi Do not play with fire Time is not far away when you will be thrown into the xe2 x80 xa6,"b'Vijayawada,India'",-0.05
2019-03-05 16:28:08,b RT Shocking Video J amp K n nWhat President has to say on this Congress MLC On Sale n n MLC as xe2 x80 xa6,b'UP \xe0\xa4\xb5\xe0\xa4\xbe\xe0\xa4\xb2\xe0\xa4\xbe \xe0\xa4\xad\xe0\xa4\x88\xe0\xa4\xaf\xe0\xa4\xbe',-1.0
2019-03-05 16:28:05,b RT Rahul Gandhi Arvind Kejriwal AAPCongressAlliance nMy cartoon for More,"b'Ghazipur, India'",0.5
2019-03-05 16:28:05,b Congress should tie up with aap anyhww,"b'Rohini, New Delhi'",0.0
2019-03-05 16:28:04,"Work has been done with the candidacy of the B-Railway Group D, whose number is 50. Their selection will be 2 x 80 x 6","b'Madhubani, India'",0.0
2019-03-05 16:28:02,"By the way, result with RAW marks a big scam, 10000 x 200 x 80 x 6 in the name of normalists","b'Alwar, Rajasthan '",-0.11538461538461539
2019-03-05 16:28:02,b RT Rahul Gandhi Arvind Kejriwal AAPCongressAlliance nMy cartoon for More,"b'New Delhi, India'",0.5
2019-03-05 16:27:58,b RT And the mohalla clinics are a big hit with everyone Don t fo xe2 x80 xa6,b'',0.0
2019-03-05 16:27:57,b RT Prime Minister playing with sentiments of Crores of Indian people s to divert attention from his BJP Govern xe2 x80 xa6,"b'Rewa, India'",0.0
2019-03-05 16:27:57,b RT mp So xe2 x80 x98s politics in full flow now n nHate our so much tht u will hug wink dalliance wth Terror suppr xe2 x80 xa6,b'India',0.275
2019-03-05 16:27:56,b Better 4 Mom to provide him with a half sleeves KURTA so that he may not have to pull xe2 x80 xa6,b'pune',0.16666666666666669
2019-03-05 16:27:53,b That s it The cowards don t have the guts to go to terrorist cultivating c xe2 x80 xa6,"b'Kerala, India'",0.0
2019-03-05 16:27:51,b RT Don xe2 x80 x99t worry n RahulGandhi you have invented Vada Pav to Sona Machine nYou will convert all Vada pav in mumbai to gold wit xe2 x80 xa6,b'',0.0
2019-03-05 16:27:50,b RT Rahul Gandhi Arvind Kejriwal AAPCongressAlliance nMy cartoon for More,b'Bhubaneswar',0.5
2019-03-05 16:27:49,b RT Rahul Gandhi Arvind Kejriwal AAPCongressAlliance nMy cartoon for More,b'Flight Mode',0.5
2019-03-05 16:27:47,b High quality weed Giving a tough run to Kejriwal,"b'Adyar,Chennai'",-0.11444444444444445
2019-03-05 16:27:41,b RT Rahul Gandhi Arvind Kejriwal AAPCongressAlliance nMy cartoon for More,"b'Jewar, India'",0.5
2019-03-05 16:27:37,b you have in the process trying to score a six you have scored a hit wicket,b'',0.0
2019-03-05 16:27:31,b modiagain Papu this is called politics for people not like politics for family,"b'Hyderabad, India'",0.0
2019-03-05 16:27:30,b He will beg them to defeat Modi and help Khangress to power what else,b'Mumbai',0.0
2019-03-05 16:27:24,b RT Rahul Gandhi Arvind Kejriwal AAPCongressAlliance nMy cartoon for More,b'',0.5
2019-03-05 16:27:23,"B. Please review result with RAW marks, a big scam happened in the name of normality, Candidate Xi XS 80 X 6","b'Alwar, Rajasthan '",-0.11538461538461539
2019-03-05 16:27:21,b RT Rahul Gandhi Arvind Kejriwal AAPCongressAlliance nMy cartoon for More,b'India',0.5
2019-03-05 16:27:15,b RT Rahul Gandhi Arvind Kejriwal AAPCongressAlliance nMy cartoon for More,b'Gurgram',0.5
2019-03-05 16:27:13,b RT Rahul Gandhi Arvind Kejriwal AAPCongressAlliance nMy cartoon for More,b'Pune',0.5
2019-03-05 16:27:08,b RT 500 sq feet houses for Mumbaikars a scheme which would be implemented within10 days of the Congress coming to power CP xe2 x80 xa6,"b'Navsari, Gujarat'",0.0
2019-03-05 16:27:06,b You are great xf0 x9f x98 x8a xe2 x9d xa3 xef xb8 x8f nPm modi misguiding our citizens and he is misuse pulwama terrorist attack for his own political atmosphere,b'Tuvvur',0.4666666666666666
2019-03-05 16:27:03,b RT Congress President welcomes Ferozepur MP Shri Sher Singh Ghubaya to the Congress party We wish him all the best xe2 x80 xa6,"b'Agartala, Tripura (West)'",1.0
2019-03-05 16:27:01,b harsha Was killing a specific number the objective No nMatter of fact is that define obj xe2 x80 xa6,"b'New Delhi, Bharat '",0.0
2019-03-05 16:27:00,b We won t let that happen n nPappu kabhi pass nahi hoga xf0 x9f x91 x8e xf0 x9f x91 x8e,"b'Bengaluru, India'",0.0
2019-03-05 16:26:59,b But problem for INC is Fran xe2 x80 xa6,b'Bangalore',0.0
2019-03-05 16:26:55,b RT Appointment of office bearers of various committees for Bihar PCC n,"b'Supaul, India'",0.0
2019-03-05 16:26:44,b ModiHaiToMumkinHai xe2 x80 xa6,"b'Rajkot, India'",0.0
2019-03-05 16:26:41,b RT Rahul Gandhi Arvind Kejriwal AAPCongressAlliance nMy cartoon for More,b'',0.5
2019-03-05 16:26:38,b When I saw reply on the tweet I feel sorry to saw the selection of their word person use,b'india',-0.5
2019-03-05 16:26:37,b They better act fast because Pradhan Sewak has already started milking the sacrifice of the soldiers while xe2 x80 xa6,"b'New Delhi, India'",0.35
2019-03-05 16:26:36,b RT Verma is NOT from Harvard as simple as that unless ofcourse this is another hoax on the lines of w xe2 x80 xa6,b'Bangalore',0.0
2019-03-05 16:26:33,b In what capacity nDynasty has run parallel government all the time nDynasty continue xe2 x80 xa6,b'BHARATH',0.0
2019-03-05 16:26:30,Bitter Gujju Shame on Congress Party and the Republic of Pakistan now openly supporting the Congress;,b'',0.075
2019-03-05 16:26:27,b INC xe2 x80 xa6,"b'Jaipur, India'",0.0
